照明0,照明1,照明2,照明3,照明4,照明5,照明6,照明7,照明8,照明9,照明10,照明11,照明12,照明13,照明14,センサ0,センサ1,センサ2,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,595.5,390.0,390.0,390.0,292,390,266,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,608.8,390.0,390.0,390.0,292,391,267,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,622.0999999999999,390.0,390.0,390.0,292,391,267,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,635.3,390.0,390.0,390.0,292,392,268,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,648.5,390.0,390.0,390.0,292,392,268,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,661.6,390.0,390.0,390.0,292,392,269,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,674.6,390.0,390.0,390.0,292,393,270,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,687.6,390.0,390.0,390.0,292,393,270,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,700.5,390.0,390.0,390.0,293,394,271,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,713.4,390.0,390.0,390.0,293,394,271,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,726.1999999999999,390.0,390.0,390.0,293,395,272,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,738.9999999999999,390.0,390.0,390.0,293,395,272,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,751.6999999999999,390.0,390.0,390.0,293,396,273,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,764.4,390.0,390.0,390.0,293,396,273,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,777.0,390.0,390.0,390.0,293,397,274,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,789.5,390.0,390.0,390.0,293,397,275,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,802.0,390.0,390.0,390.0,293,398,275,
